input,subject,subject_type,relation,object,object_type
图9-10菜品标签挖掘示意图最后再对评论数据进行情感挖掘，主要采用CNN+LSTM的模型，对每一个用户的评价进行分析，分析出用户的一些情感的倾向。,等价,,,等价,
同时，美团也正在做细粒度的情感分析，希望能够通过用户短短的评价，分析出用户在交通、环境、卫生、菜品、口味等不同维度方面的情感分析结果，如图9-11所示。,情感分析,,,细粒度的情感分析,
同时，美团也正在做细粒度的情感分析，希望能够通过用户短短的评价，分析出用户在交通、环境、卫生、菜品、口味等不同维度方面的情感分析结果，如图9-11所示。,等价,,,equivalence,
同时，美团也正在做细粒度的情感分析，希望能够通过用户短短的评价，分析出用户在交通、环境、卫生、菜品、口味等不同维度方面的情感分析结果，如图9-11所示。,英文名,,,equivalence,
图9-11情感挖掘示意图2.美团“知识大脑”业务应用依托深度学习模型，美团大脑充分挖掘、关联美团点评各个业务场景公开数据（如用户评价、菜品、标签等），构建餐饮娱乐“知识大脑”，并且已经开始在美团的不同业务中落地，利用人工智能技术全面提升用户的生活体验。,美团“知识大脑”业务应用,,,深度学习模型,
（1）智能搜索：帮助用户做决策。,智能搜索,,,帮助用户做决策,
知识图谱可以从多维度精准地刻画商家，已经在美食搜索和旅游搜索中应用，为用户搜索出更适合的店。,知识图谱,,,多维度精准地刻画商家,
基于知识图谱的搜索结果，不仅具有精准性，还具有多样性。,基于知识图谱的搜索结果,,,精准性、多样性,
因此搜索的结果不仅有“糖醋鱼”“清蒸鱼”等精准的结果，还有“赛螃蟹”这样以鱼肉作为主食材的菜品，大大增加了搜索结果的多样性，提升用户的搜索体验。,搜索结果,,,“赛螃蟹”这样以鱼肉作为主食材的菜品,
并且对于每一个推荐的商家，能够基于知识图谱找到用户最关心的因素，从而生成“千人千面”的推荐理由。,知识图谱,,,基于知识图谱找到用户最关心的因素，从而生成“千人千面”的推荐理由,
例如，在浏览到大董烤鸭店的时候，偏好“无肉不欢”的用户A看到的推荐理由是“大董的烤鸭名不虚传”，而偏好“环境优雅”的用户B看到的推荐理由是“环境小资，有舞台表演”，不仅让搜索结果更具有解释性，同时也能吸引不同偏好的用户进入商家。,推荐理由,,,吸引不同偏好的用户进入商家,
图9-12知识图谱在点评搜索中的应用对于场景化搜索，知识图谱也具有很强的优势。,知识图谱,,,场景化搜索,
以七夕节为例，通过知识图谱中的七夕特色化标签，如约会圣地、环境私密、菜品新颖、音乐餐厅、别墅餐厅等，结合商家评论中的细粒度情感分析，为美团搜索提供了更多适合情侣过七夕节的商户数据，用于七夕场景化搜索的结果召回与展示，极大地提升了用户体验和用户点击转化。,七夕场景化搜索,,,知识图谱中的七夕特色化标签,
（2）ToB商户赋能：商业大脑指导店老板决策。,ToB商户赋能,,,商业大脑指导店老板决策。,
美团大脑正应用在SaaS收银系统专业版中，通过机器智能阅读每个商家的每一条评论，可以充分理解每个用户对商家的感受。,美团大脑,,,SaaS收银系统专业版,
将大量的用户评价进行归纳总结，从而可以发现商家在市场上的竞争力、用户对于商家的总体印象趋势、菜品的受欢迎程度变化。,聚类,,,将大量的用户评价进行归纳总结,
进一步通过细粒度用户评论全方位分析，可以细致刻画商家服务现状，以及对商家提供前瞻性经营方向。,细粒度用户评论,,,全方位分析,
通过美团SaaS收银系统专业版，这些智能经营建议将定期触达到各个商家，智能化指导商家精准优化经营模式。,美团SaaS收银系统专业版,,,智能经营建议,
在给店老板提供的传统商业分析服务中，主要聚焦于单店的现金流、客源分析。,传统商业分析服务,,,单店的现金流、客源分析,
美团大脑充分挖掘了商户及顾客之间的关联关系，可以提供围绕商户到顾客，商户到所在商圈的更多维度的商业分析，在商户营业前、营业中以及经营方向，均可以提供细粒度的运营指导。,美团大脑,,,围绕商户到顾客，商户到所在商圈的更多维度的商业分析,
在商家服务能力分析上，通过图谱中关于商家评论所挖掘的主观、客观标签，例如“服务热情”“上菜快”“停车免费”等，同时结合用户在这些标签所在维度上的Aspect细粒度情感分析，告诉商家在哪些方面做得不错，是目前的竞争优势；在哪些方面做得还不够，需要尽快改进。,等价,,,on the analysis of business services,
在商家服务能力分析上，通过图谱中关于商家评论所挖掘的主观、客观标签，例如“服务热情”“上菜快”“停车免费”等，同时结合用户在这些标签所在维度上的Aspect细粒度情感分析，告诉商家在哪些方面做得不错，是目前的竞争优势；在哪些方面做得还不够，需要尽快改进。,英文名,,,aspect,
因而可以更准确地指导商家进行经营活动。,SPO,,,概念/SPO,
更加智能的是，美团大脑还可以推理出顾客对商家的认可程度，是高于还是低于其所在商圈的平均情感值，让店老板一目了然地了解自己的实际竞争力。,美团大脑,,,推理出顾客对商家的认可程度,
在消费用户群体分析上，美团大脑不仅能够告诉店老板顾客的年龄层、性别分布，还可以推理出顾客的消费水平，对于就餐环境的偏好，适合他们的推荐菜，让店老板有针对性地调整价格、更新菜品、优化就餐环境。,美团大脑,,,消费用户群体分析,
（3）金融风险管理和反欺诈：从用户行为建立征信体系。,金融风险管理和反欺诈,,,从用户行为建立征信体系,
知识图谱的推理能力和可解释性在金融场景中具有天然的优势，美团NLP中心和美团金融共建的金融好用户扩散以及用户反欺诈，就是利用知识图谱中的社区发现、标签传播等方法来对用户进行风险管理，能够更准确地识别逾期客户以及用户的不良行为，从而大大提升信用风险管理能力。,知识图谱的推理能力,,,可解释性,
在反欺诈场景中，知识图谱已经帮助美团金融团队在案件调查中发现并确认多起欺诈案件。,知识图谱,,,反欺诈场景中帮助美团金融团队在案件调查中发现并确认多起欺诈案件,
企业商业知识图谱包含企业、人物、专利等实体类型，以及任职、股权、专利所属权等关系类型，以完善企业及个人画像，助力企业潜在客户获取、客户背景调查、多层次研究报告、风险管控；辅助发现不良资产、企业风险、非法集资等。,企业知识图谱,,,企业实体类型,
企业商业知识图谱包含企业、人物、专利等实体类型，以及任职、股权、专利所属权等关系类型，以完善企业及个人画像，助力企业潜在客户获取、客户背景调查、多层次研究报告、风险管控；辅助发现不良资产、企业风险、非法集资等。,企业知识图谱,,,关系类型,
下面将企业商业知识图谱的构建方式进行梳理。,企业商业知识图谱的构建方式,,,构建,
构建企业商业知识图谱，通常从相应网站中抽取企业信息、人物形象、诉讼信息以及信用信息，再添加上市公司、股票等概念和相应属性。,构建企业商业知识图谱,,,从相应网站中抽取企业信息、人物形象、诉讼信息以及信用信息，再添加上市公司、股票等概念和相应属性,
构建企业商业知识图谱，通常从相应网站中抽取企业信息、人物形象、诉讼信息以及信用信息，再添加上市公司、股票等概念和相应属性。,构建企业商业知识图谱,,,抽取企业信息、人物形象、诉讼信息以及信用信息，再添加上市公司、股票,
企业招投标信息、上市公司的股票信息可从相关网站进行采集。,企业招投标信息,,,相关网站进行采集,
企业的竞争关系、并购事件则从百科站点中进行抽取。,企业的竞争关系,,,百科站点,
这些信息存在于信息框、列表、表格等半结构化数据以及无结构的纯文本中。,信息框,,,半结构化数据以及无结构的纯文本,
企业商业知识图谱如图9-13所示。,企业商业知识图谱,,,图9-13,
图9-13企业商业知识图谱企业商业知识图谱数据源主要包含两大类：1）半结构化的网页数据，其中包括全国企业信用信息公示系统、中国裁判文书网、中国执行信息公开网、国家知识产权局、商标局、版权局等。,企业商业知识图谱,,,半结构化的网页数据,
2）文本数据，如招投标信息公告、法律文书、新闻、企业年报等。,文本数据,,,招投标信息公告、法律文书、新闻、企业年报等。,
通过D2R工具、包装器、文本信息抽取等方式对以上数据分别进行抽取。,D2R工具,,,数据抽取,
由于数据来源多种多样，一方面涉及人物重名现象，另一方面，企业全称和简称产生的不一致问题也非常明显。,数据来源,,,人物重名现象,
由于数据来源多种多样，一方面涉及人物重名现象，另一方面，企业全称和简称产生的不一致问题也非常明显。,数据来源,,,企业全称和简称产生的不一致问题,
因此，公司和人物两类实体是企业知识图谱融合的主要目标。,公司和人物,,,企业知识图谱融合,
公司的融合推荐基于公司名的全称进行链接，人物实例的融合推荐使用基于启发式规则进行集成。,融合推荐,,,公司名的全称进行链接,
公司的融合推荐基于公司名的全称进行链接，人物实例的融合推荐使用基于启发式规则进行集成。,融合推荐,,,fusion recommendation,
公司的融合推荐基于公司名的全称进行链接，人物实例的融合推荐使用基于启发式规则进行集成。,基于公司名的全称进行链接,,,based on the full name of the company to link,
公司的融合推荐基于公司名的全称进行链接，人物实例的融合推荐使用基于启发式规则进行集成。,人物实例的融合推荐,,,based on heuristic rules for integration,
全国企业商业知识图谱包含全国上千万家企业信息，10亿级别的三元组，形成知识图谱庞大而复杂，因此对存储方式提出了挑战，要求能够对海量的图数据进行存储，且具有良好的可伸缩性和灵活性。,全国企业商业知识图谱,,,对海量的图数据进行存储，且具有良好的可伸缩性和灵活性,
对此，推荐采用图数据库的方式进行存储，并可以扩展分布式存储方案以提高服务可用性与稳定性。,图数据库,,,存储,
企业商业知识图谱的应用主要集中于金融反欺诈、辅助信贷审核的功能。,企业商业知识图谱的应用,,,金融反欺诈、辅助信贷审核的功能,
例如，在金融反欺诈中，多个借款人联系方式的属性相同，但地址属性不同，可通过不一致性验证的方式来判断借款人是否有欺诈风险。,不一致性验证,,,金融反欺诈,
除此之外，通过异常关联挖掘、企业风险评估、关联探索、最终控制人和战略发展等方式，全国企业知识图谱为行业客户提供智能服务和风险管理。,全国企业知识图谱,,,智能服务和风险管理,
异常关联挖掘是通过路径分析、关联探索等操作，挖掘目标企业谱系中的异常关联。,异常关联挖掘,,,路径分析、关联探索等操作,
基于企业商业知识图谱从多维度构建数据模型，进行全方位的企业风险评估，有效规避潜在的经营风险与资金风险，如图9-14所示。,基于企业商业知识图谱,,,多维度构建数据模型，进行全方位的企业风险评估,
基于企业商业知识图谱从多维度构建数据模型，进行全方位的企业风险评估，有效规避潜在的经营风险与资金风险，如图9-14所示。,基于企业商业知识图谱,,,基于企业商业知识图谱构建数据模型进行全方位的企业风险评估,
图9-14异常关联挖掘最终控制人分析是基于股权投资关系寻找持股比例最大的股东，最终追溯至自然人或国有资产管理部门，如图9-15所示。,异常关联挖掘最终控制人分析,,,寻找持股比例最大的股东,
图9-15最终控制人分析示例战略发展则以“信任圈”的展现形式，将目标企业的对外投资企业从股权上加以区分，探寻其全资、控股、合营、参股的股权结构及发展战略，从而理解竞争对手和行业企业的真实战略，发现投资行业结构、区域结构、风险结构和年龄结构等，如图9-16所示。,图9-15最终控制人分析示例,,,战略发展,
图9-15最终控制人分析示例战略发展则以“信任圈”的展现形式，将目标企业的对外投资企业从股权上加以区分，探寻其全资、控股、合营、参股的股权结构及发展战略，从而理解竞争对手和行业企业的真实战略，发现投资行业结构、区域结构、风险结构和年龄结构等，如图9-16所示。,图9-16,,,理解竞争对手和行业企业的真实战略,
图9-16企业社交图谱9.3.5创投知识图谱的构建与应用[23]创业投资（以下简称“创投”）知识图谱聚焦于工商知识图谱的一部分数据内容，旨在展现企业、投融资事件、投资机构之间的关系。,创投知识图谱,,,工商知识图谱的数据内容,
据IT桔子的不完全统计，截至2019年2月，全国拥有初创公司超过12万家，投资机构超过7000家，有12万多名创业者，投资事件超过6万起。,初创公司,,,全国拥有初创公司超过12万家，投资机构超过7000家，有12万多名创业者，投资事件超过6万起。,
作为公司发展过程中的重要阶段，创投领域的发展正得到越来越多数据与技术公司的关注。,创投领域,,,公司发展过程中的重要阶段,
2007年，在美国旧金山创立的Crunchbase[24]，其核心业务是围绕初创公司及投资机构的生态为企业提供数据服务。,Crunchbase,,,创立,
国内企业中TechNode于2017年发布了数据棱镜平台[25]，构建创投知识图谱，为专业人员提供创业投资数据分析工具；因果树[26]是一家人工智能股权投融资服务平台，依托大数据和人工智能技术，提升一级市场效率，推动一级市场量化。,数据棱镜平台,,,创投知识图谱,
创投知识图谱的核心是投资，主要描述创业企业与投资机构之间以投资为主线的多种关系。,创投知识图谱,,,投资,
因此，首先要理解创投领域的相关概念与关系。,创投领域的相关概念与关系,,,理解创投领域的相关概念与关系,
创投领域Schema中涉及的概念主要包括初创公司、投资机构、投资人、公司高管、行业以及投融资事件等。,Schema,,,创投领域概念,
融资事件是创投领域的核心，不同于实体节点，融资事件描述的是一个事实，具有抽象性。,融资事件,,,创投领域的核心,
典型的创投Schema如图9-17所示。,Schema,,,典型的创投,
图9-17典型的创投Schema创投数据主要来源于虎嗅、IT桔子、36Kr等科技型媒体网站。,创投数据,,,虎嗅、IT桔子、36Kr等科技型媒体网站,
IT桔子是结构化的公司数据库和商业信息服务提供商，以融资事件为核心，关注IT互联网行业，其中包含了各类结构化的投资机构库和融资信息。,IT桔子,,,结构化的公司数据库和商业信息服务提供商,
虎嗅和36Kr则主要是以商业科技资讯为主的新闻数据来源网站。,虎嗅,,,以商业科技资讯为主的新闻数据来源网站,
构建创投知识图谱时，同样需要考虑数据融合的问题，典型问题包括：1）数值属性表示不一致，例如金额的阿拉伯数字与中文写法的区别；2）实体同义，例如企业的全称与简称；3）不同数据源中的数据冲突。,创投知识图谱,,,数据融合,
构建创投知识图谱时，同样需要考虑数据融合的问题，典型问题包括：1）数值属性表示不一致，例如金额的阿拉伯数字与中文写法的区别；2）实体同义，例如企业的全称与简称；3）不同数据源中的数据冲突。,数据融合,,,data fusion,
一般采用先实体对齐后属性对齐的方法来进行融合操作。,先实体对齐后属性对齐的方法,,,融合操作,
创投知识图谱的存储主要考虑融资事件的存储设计，通常采用两种方式对此类信息进行存储。,创投知识图谱,,,融资事件的存储设计,
第一种是在传统三元组的基础上加入其他描述字段，存储时间、轮次等信息；第二种方式是通过匿名节点存储事件，把时间、地点等相关信息作为事件节点的属性。,描述三元组,,,传统三元组,
对于融资事件来说，虽然它不是客观世界中一个具体的事物，但它包含了丰富的属性信息，如融资时间、融资轮次、融资额等。,融资事件,,,非客观世界中一个具体的事物,
因此比较适合单独引入一类节点来进行存储和表示。,概念/SPO,,,适合单独引入一类节点来进行存储和表示,
对于创投知识图谱的知识计算，主要通过使用社区发现、基于图的排序、最短路径等图算法，对合作分析、时序、相似公司等应用进行能力输出。,创投知识图谱,,,知识计算,
例如，通过最短路径算法辅助合作分析，基于社区发现算法寻找行业研究热点，利用图排序算法进行权威分析等，通过分析展现公司的发展情况。,spo,,,根据schema抽取spo三元组,
创投领域知识图谱主要的应用形态包括知识检索以及可视化决策支持。,创投领域知识图谱,,,知识检索以及可视化决策支持,
依托创投知识图谱，知识检索可以在原有知识全文搜索的基础上实现语义搜索与智能问答的应用形态。,知识检索,,,知识问答的应用形态,
其中，语义搜索提供自然语言式的搜索方式，由机器完成用户搜索意图识别，如图9-18所示为语义搜索示例。,语义搜索,,,自然语言式的搜索方式,
其中，语义搜索提供自然语言式的搜索方式，由机器完成用户搜索意图识别，如图9-18所示为语义搜索示例。,语义搜索,,,semantic search,
而作为知识搜索的终极形态，智能问答允许用户通过对话的方式对领域内知识进行问答交互，同时通过配置问题模板实现复杂业务问题的回答，如图9-19所示为智能问答示例。,智能问答,,,知识搜索的终极形态,
图9-18语义搜索示例图9-19智能问答示例通过图谱可视化技术，决策支持可对创投图谱中的初创公司发展情况、投资机构投资偏好等进行解读。,创投图谱,,,图谱可视化技术，决策支持,
通过节点探索、路径发现、关联探寻等可视化分析技术，展示公司的全方位信息；通过知识地图、时序图谱等形态，对地理分布、发展趋势等进行解读，为投融资决策提供支持。,可视化分析技术,,,展示公司的全方位信息,
如图9-20～图9-22所示分别为投融资知识图谱示例。,投融资知识图谱示例,,,SPO三元组,
图9-20路径分析图9-21时序分析图9-22自然语言BI9.3.6中医临床领域知识图谱的构建与应用[27]中医药学是一门古老的医学，历代医家在数千年的实践中积累了丰富的临床经验，形成了完整的知识体系，产生了海量的临床文献。,图9-20,,,路径分析,
图9-20路径分析图9-21时序分析图9-22自然语言BI9.3.6中医临床领域知识图谱的构建与应用[27]中医药学是一门古老的医学，历代医家在数千年的实践中积累了丰富的临床经验，形成了完整的知识体系，产生了海量的临床文献。,图9-21,,,时序分析,
图9-20路径分析图9-21时序分析图9-22自然语言BI9.3.6中医临床领域知识图谱的构建与应用[27]中医药学是一门古老的医学，历代医家在数千年的实践中积累了丰富的临床经验，形成了完整的知识体系，产生了海量的临床文献。,图9-22,,,自然语言BI,
利用信息技术手段开展中医临床知识的管理和服务是一项开创性的探索，在临床上具有极大的应用价值。,中医临床知识管理,,,利用信息技术手段开展中医临床知识的管理和服务,
知识图谱有助于实现临床指南、中医医案以及方剂知识等各类知识的关联与整合，挖掘整理中医临证经验与学术思想，实现智能化、个性化的中医药知识服务，因此在中医临床领域具有广阔的应用前景。,知识图谱,,,中医临床领域,
中医临床领域有其自身的特点和需求，需要专门研究中医临床知识建模方法，以解决中医临床知识的获取、分类、表达、组织、存储等核心问题。,中医临床知识问答系统,,,中医临床知识建模方法,
只有采集加工高质量的中医临床知识，才能建立准确、实用、完整的中医临床知识图谱。,中医临床知识图谱,,,采集加工高质量的中医临床知识,
中国中医科学院中医药信息研究所相关学者以“证、治、效”为中心，对中医临床领域庞大的知识内容进行系统梳理，初步建立了一个中医临床知识图谱系统。,中国中医科学院中医药信息研究所,,,中医临床知识图谱系统,
该系统以中医临床领域本体作为骨架，集成了名医经验、临床指南、中医医案、中医文献和方剂知识等多种知识资源，并实现了各类知识点之间的知识关联。,知识问答系统,,,中医临床领域本体,
知识图谱为中医临床知识体系的系统梳理和深度挖掘提供了新颖的方法，有助于实现中医临床知识的关联、整合与可视化，促进中医临床研究，辅助中医临床决策。,知识图谱,,,中医临床知识体系的系统梳理和深度挖掘,
中医临床知识是解决中医临床实际过程中特定问题的结合，主要包括：看创指南、名医经验、临床术语、古籍和期刊文献资源（包括RCT文献质量评价结果）、中药方剂等。,中医临床知识,,,解决中医临床实际过程中特定问题的结合,
这些信息分散于不同的组织机构和信息系统之中，形成一个个“知识孤岛”，尚未得到有效整合，严重影响了临床应用的效果。,信息孤岛,,,整合,
知识工程师们都可依据该规范进行知识图谱的加工，所产生的知识图谱互相兼容并能最终融合在一起。,知识工程师,,,知识图谱的加工,
其次，构建目标领域的语义网络，作为知识图谱的骨架。,构建目标领域的语义网络,,,知识图谱的骨架,
"例如，中医临床术语系统（Traditional_Chinese_Medicine_Clinical_Terminology_System,TCMCTS）就是一个专门面向中医临床的大型语义网络，共收录约11万个概念、27万个术语以及100多万条语义关系。",TCMCTS,,,面向中医临床的大型语义网络,
[28]在建立语义网络之后，就可以进行领域知识的填充工作了。,语义网络,,,建立领域知识填充工作,
最后，从术语系统、数据库和文本等知识源获取知识，对知识图谱内容进行填充。,知识图谱,,,从术语系统、数据库和文本等知识源获取知识，对知识图谱内容进行填充,
可将本领域中已有的术语系统和数据库的内容转换为知识图谱，从而避免知识资源的重复建设。,本领域中已有的术语系统和数据库的内容,,,知识图谱,
针对自由文本，可采用自然语言处理和机器学习等方法，从古今中外的各类中医药文献中自动发现实体和语义关系，以自动或半自动的方式填充知识图谱。,自动发现实体和语义关系,,,知识图谱,
在中医临床领域，构建知识图谱的一个核心的知识源是中医医案。,知识图谱,,,构建知识图谱的一个核心的知识源,
中医医案是中医临床思维活动和辨证论治过程的记录，是中医理法方药综合应用的具体反映形式[29]。,中医医案,,,中医临床思维活动和辨证论治过程的记录，是中医理法方药综合应用的具体反映形式,
中医医案是中医临床思维活动和辨证论治过程的记录，是中医理法方药综合应用的具体反映形式[29]。,中医医案,,,Chinese medical case,
特别是名老中医的医案，对于中医理论和方法的传承具有重要意义。,名老中医的医案,,,中医理论和方法的传承,
中医临床知识以医案形式分散于文献之中，这不利于知识检索以及临床数据的分析与挖掘。,中医临床知识,,,医案形式分散于文献之中,
从中医医案到知识图谱的知识转换是中医临床知识图谱构建中的核心任务。,知识转换,,,中医临床知识图谱构建,
通过这套工具，从中医古代医案中抽取结构化的中医临床知识，填入中医临床知识图谱。,中医临床知识图谱,,,从中医古代医案中抽取结构化的中医临床知识,
从知识学的角度分析，中医临床知识从低到高可分为“事实性知识”“概念性知识”“策略性知识”等多个层次。,中医临床知识,,,知识层次,
中医医案属于基础性的“事实型知识”，它直接记录中医临床活动中发生的事实。,中医医案,,,基础性的“事实型知识”,
中医临床知识图谱则属于“概念性知识”，它用于梳理概念体系以及表示概念之间的关系。,中医临床知识图谱,,,“概念性知识”,
从医案知识向知识图谱的转换过程，实质上是一个知识抽象和归纳的过程。,从医案知识向知识图谱的转换过程,,,知识抽象和归纳的过程,
在这个过程中，一方面要完成知识抽取：对海量医案文本进行分析和标注，从中抽取中医知识；另一方面，要实现知识的结构化表示，也就是从医案文本到结构化知识的转换。,知识抽取,,,对海量医案文本进行分析和标注，从中抽取中医知识,
在最高层则是问题求解和过程控制所需的“策略性知识”（通常用规则、过程等表示），它们是临床决策支持系统的基础。,临床决策支持系统,,,问题求解和过程控制所需的“策略性知识”,
在最高层则是问题求解和过程控制所需的“策略性知识”（通常用规则、过程等表示），它们是临床决策支持系统的基础。,临床决策支持系统,,,clinical decision support system,
可见，知识图谱处于中间层，在多维度、多层次、多主题的知识点之间建立关联，在中医临床知识系统中起到重要的“粘合剂”作用。,知识图谱,,,中医临床知识系统,
知识图谱有助于对中医临床知识进行分类整理和规范化表达，促进中医临床知识的共享、传播与利用，在临床诊疗、临床研究、教育、培训等方面都具有应用价值。,知识图谱,,,对中医临床知识进行分类整理和规范化表达，促进中医临床知识的共享、传播与利用,
特别是可以将中医临床知识图谱集成到知识服务系统之中，用于改进知识检索、知识问答、决策支持和知识可视化等多种服务的效果，从而提升知识服务能力。,中医知识图谱,,,将中医临床知识图谱集成到知识服务系统之中，用于改进知识检索、知识问答、决策支持和知识可视化等多种服务的效果，从而提升知识服务能力,
如图9-24所示，知识图谱系统以图形化的方式呈现中医名家、疾病、特色疗法、方药、养生方法等概念之间的相互关系，实现中医临床知识体系可视化。,知识图谱系统,,,呈现中医名家、疾病、特色疗法、方药、养生方法等概念之间的相互关系，实现中医临床知识体系可视化,
系统提供检索框，用于检索知识图谱中的概念。,检索框,,,知识图谱中的概念,
图9-24中医临床知识图谱界面示意图知识图谱系统以图形化的方式呈现中医名家、疾病、特色疗法、方药、养生方法等概念之间的相互关系，实现中医临床知识体系可视化。,知识图谱系统,,,中医临床知识图谱,
系统提供检索框，用于检索知识图谱中的概念。,检索框,,,知识图谱中的概念,
使用知识图谱，用户可快速找到与当前研究主题相关的医案、指南和知识库内容，辅助用户进行决策。,知识图谱,,,查找与当前研究主题相关的医案、指南和知识库内容，辅助用户进行决策,
系统协助用户在概念层次上浏览中医临床知识，发现概念或知识点之间的潜在联系，从而更好地驾驭复杂的中医药知识体系。,概念级知识导航系统,,,系统协助用户在概念层次上浏览中医临床知识，发现概念或知识点之间的潜在联系，从而更好地驾驭复杂的中医药知识体系。,
中医临床知识图谱分析和揭示“证、治、效”之间的相关关系，提供了新颖的理念和方法。,中医临床知识图谱,,,分析和揭示“证、治、效”之间的相关关系,
“证、治、效”是中医临床的灵魂，揭示三者之间的关联关系对于提高中医临床疗效具有重要意义。,“证、治、效”,,,中医临床的灵魂,
由于中医疗效的判断十分复杂，加入疗效这个因素后，使得三者关系的维度过高，目前的计算机模型很难处理，但可以选择验案作为研究方证对应关系的数据资源，因为验案本身都具有良好疗效。,中医疗效的判断,,,选择验案作为研究方证对应关系的数据资源,
最后，可将这些相关关系和规律提供给临床医生，作为支持临床决策的参考性依据。,相关关系和规律,,,临床医生作为支持临床决策的参考性依据,
最后，可将这些相关关系和规律提供给临床医生，作为支持临床决策的参考性依据。,相关关系和规律,,,related relationship and law,
知识图谱是在“大数据”时代背景下出现的一项新颖的知识管理技术。,知识图谱,,,“大数据”时代背景下出现的一项新颖的知识管理技术,
在“大数据”时代，不再热衷于寻找因果关系，转而将注意力放在相关关系的发现和使用上。,大数据时代,,,"寻找因果关系,转而将注意力放在相关关系的发现和使用上。",
知识图谱从多个维度来描述中医药领域对象，反映中医药事物之间的相关关系，它将是中医药大数据方法学体系中的核心组成部分。,知识图谱,,,中医药领域对象,
大数据通过识别有用的关联关系来分析一个现象，而不是揭示其内部的运作机制。,大数据,,,识别有用的关联关系来分析一个现象,
基于相关关系分析的预测是大数据的核心。,基于相关关系分析的预测,,,大数据的核心,
中医的思想方法不是严格的逻辑推理，而是一种关联式的思考。,中医的思想方法,,,关联式的思考,
这种理念上的相似性，使得中医药工作者更易接受并使用“大数据”的方法与技术。,“大数据”的方法与技术,,,中医药工作者更易接受并使用,
利用中医临床知识图谱，能够发现中医药概念之间的相关关系，揭示各种临床规律，从而不断完善中医临床知识体系，直接推动中医临床研究的快速发展。,中医临床知识图谱,,,发现中医药概念之间的相关关系，揭示各种临床规律，从而不断完善中医临床知识体系，直接推动中医临床研究的快速发展。,
9.3.7金融证券行业知识图谱应用实践[30]金融证券行业正面临着数据爆炸的问题。,金融证券行业知识图谱应用实践,,,金融证券行业正面临着数据爆炸的问题,
传统的金融数据服务商历时数十年，已收集整理了大量高质量的结构化数据，并分门别类地展示给用户。,传统的金融数据服务商,,,收集整理了大量高质量的结构化数据，并分门别类地展示给用户,
如何有效地使用这些数据，需要用户具备专业的金融经济知识，深刻理解某个数据的变动可能引发的关联、传导效应，从而帮助用户做出各种投资决策。,SPO,,,有效的使用数据,
如何有效地使用这些数据，需要用户具备专业的金融经济知识，深刻理解某个数据的变动可能引发的关联、传导效应，从而帮助用户做出各种投资决策。,SPO,,,semantic_preservation_and_operation,
金融行业的研究人员相当于在大脑里存储或训练了一个知识图谱，将相关的行业、产品、公司等因素联系在一起，当观察到某个数据变量发生变化时，可以分析推理出各种观点并进行预测。,知识图谱,,,在大脑里存储或训练,
然而，一个人的脑容量或记忆是有限的，一位专业的行业分析师通常只能对几个行业了如指掌。,专业的行业分析师,,,对几个行业了如指掌,
因此，对市场进行全行业的分析服务需要一支分析师团队。,对市场进行全行业的分析服务,,,分析师团队,
通过人与人之间的交流，以及研报与研报之间的关联和对接，来实现整个经济金融体系的传导与联系。,概念,,,通过人与人之间的交流，以及研报与研报之间的关联和对接，来实现整个经济金融体系的传导与联系。,
近年来，非结构化数据的井喷式涌现给这种传统的运作方式带来了挑战。,非结构化数据,,,传统的运作方式,
财经新闻、经济产业信息每时每秒都在更新；上市公司的数目众多，所涉及的定期报告、临时报告数量巨大；基于互联网平台的股吧、论坛、门户网站、微信、微博等每时每刻也在产生着大量的资讯，上述信息都将可能对证券市场产生各种各样的影响。,财经新闻,,,信息检索,
这使得从海量资讯触发源上，以及分析数据所需的知识的广度、深度上，均对传统的资讯处理模式提出了极大的挑战。,知识问答,,,从海量资讯触发源上，以及分析数据所需的知识的广度、深度上，均对传统的资讯处理模式提出的挑战,
现代信息技术人工智能的发展已经可以在很多方面提高信息分析和利用的效率。,现代信息技术,,,人工智能的发展,
对结构化数据的分析挖掘已经取得了很多进展，很多成熟的分析预测算法还是针对结构化、关系数据的。,结构化数据的分析挖掘,,,对结构化、关系数据的分析预测算法,
然而，非结构化数据的分析挖掘和利用尚处于起步阶段。,非结构化数据的分析挖掘和利用,,,起步阶段,
领域知识建模在方法论上的正确性，是决定人工智能应用成功与否的关键因素。,领域知识建模,,,方法论正确性,
当前，“知识图谱”作为领域知识建模的工具正在受到越来越多的重视。,知识图谱,,,领域知识建模的工具,
基于知识图谱的领域建模、基于规模化大数据的处理能力、针对半结构化标签型数据的分析预测算法三者的结合，是人工智能的优势所在。,基于知识图谱的领域建模,,,基于人工智能的优势所在,
构建金融证券领域知识图谱作为金融证券文本语义理解和知识搜索的关键基础技术，为未来金融证券领域文本分析、舆情监控、知识发现、模式挖掘、推理决策等提供了坚实支撑。,知识图谱,,,金融证券文本语义理解知识搜索的关键基础技术,
金融领域的知识图谱与其他专业领域图谱相比有着很大的不同。,知识图谱,,,金融领域,
金融领域本就是连接各行各业、世间万物的，因此金融知识图谱涉及经济、投资、产业、公司等相关的知识，其实是覆盖全行业的。,金融知识图谱,,,经济、投资、产业、公司等相关的知识,
