表2-7给出了OWL_2_QL词汇总结。,OWL_2_QL词汇总结,,,表2-7,
表2-7OWL_2_QL词汇总结例如，OWL_2_EL允许表达如下复杂的概念：Female⊓∃likes.Movie⊓∃hasSon.(Student⊓∃attends.CSCourse)指的是所有喜欢电影、儿子是学生且参加计算机课程的女性。,OWL_2_EL,,,复杂的概念,
表2-7OWL_2_QL词汇总结例如，OWL_2_EL允许表达如下复杂的概念：Female⊓∃likes.Movie⊓∃hasSon.(Student⊓∃attends.CSCourse)指的是所有喜欢电影、儿子是学生且参加计算机课程的女性。,OWL_2_EL,,,OWL_2_EQ,
下面给出一个例子。,SPO,,,概念/三元组抽取,
假设有一个本体，包含以下公理：公理1.Apple⊑∃beInvestedBy.(Fidelity⊓BlackStone)：苹果由富达和黑石投资。,Apple,,,∃beInvestedBy.(Fidelity⊓BlackStone),
假设有一个本体，包含以下公理：公理1.Apple⊑∃beInvestedBy.(Fidelity⊓BlackStone)：苹果由富达和黑石投资。,Apple,,,苹果,
公理2.∃beFundedBy.Fidelity⊑InnovativeCompanies：借助富达融资的公司都是创新企业。,Fidelity,,,借助富达融资的公司都是创新企业,
公理3.∃beFundedBy.BlackStone⊑InnovativeCompanies：借助黑石融资的公司都是创新企业。,BlackStone,,,借助黑石融资的公司都是创新企业,
公理4.beInvestedBy⊑beFundedBy：投资即是帮助融资。,beInvestedBy,,,beFundedBy,
由公理1可以推出公理5:Apple⊑∃beInvestedBy.Fidelity；由公理5和公理4可以推出公⊑⊑∃beFundedBy.Fidelity；最后，由公理6和公理2可以推出公理7:Apple理6:Apple_InnovativeCompanies。,公理5,,,Apple,
由公理1可以推出公理5:Apple⊑∃beInvestedBy.Fidelity；由公理5和公理4可以推出公⊑⊑∃beFundedBy.Fidelity；最后，由公理6和公理2可以推出公理7:Apple理6:Apple_InnovativeCompanies。,等价,,,Apple⊑∃beInvestedBy.Fidelity,
由公理1可以推出公理5:Apple⊑∃beInvestedBy.Fidelity；由公理5和公理4可以推出公⊑⊑∃beFundedBy.Fidelity；最后，由公理6和公理2可以推出公理7:Apple理6:Apple_InnovativeCompanies。,等价,,,由公理5和公理4可以推出公⊑⊑∃beFundedBy.Fidelity,
由公理1可以推出公理5:Apple⊑∃beInvestedBy.Fidelity；由公理5和公理4可以推出公⊑⊑∃beFundedBy.Fidelity；最后，由公理6和公理2可以推出公理7:Apple理6:Apple_InnovativeCompanies。,等价,,,由公理6和公理2可以推出公理7:Apple,
还有一个推理复杂度是多项式时间的OWL2子语言叫OWL_2_RL。,OWL_2_RL,,,OWL2子语言,
还有一个推理复杂度是多项式时间的OWL2子语言叫OWL_2_RL。,OWL_2_RL,,,OWL2推理复杂度是多项式时间的子语言,
OWL_2_RL扩展了RDFS的表达能力，在RDFS的基础上引入属性的特殊特性（函数性、互反性和对称性），允许声明等价性，允许属性的局部约束。,OWL_2_RL,,,RDFS的表达能力,
OWL_2_RL扩展了RDFS的表达能力，在RDFS的基础上引入属性的特殊特性（函数性、互反性和对称性），允许声明等价性，允许属性的局部约束。,OWL_2_RL,,,OWL_2_RDFS扩展了RDFS的表达能力,
OWL_2_RL_的推理是一种前向链推理，即将推理规则应用到OWL_2_RL本体，得到新的知识，即OWL_2_RL推理是针对实例数据的推理。,OWL_2_RL推理,,,前向链推理,
OWL_2_RL_的推理是一种前向链推理，即将推理规则应用到OWL_2_RL本体，得到新的知识，即OWL_2_RL推理是针对实例数据的推理。,OWL_2_RL推理,,,前向链推理,
"下面给出两个OWL_2_RL上的推理规则：p_rdfs:domain_x,spo⇒s_rdf:type_xp_rdfs:range_x,spo⇒o_rdf:type_x其中，s、p、o、x为变量。",p_rdfs:domain_x,,,推理规则的等价,
第一条规则表示如果属性p的定义域是类x，而且实例s和o有关系p（这里把属性与关系看成是一样的），那么实例s是类x的一个元素。,规则,,,如果属性p的定义域是类x，而且实例s和o有关系p,
第一条规则表示如果属性p的定义域是类x，而且实例s和o有关系p（这里把属性与关系看成是一样的），那么实例s是类x的一个元素。,如果属性p的定义域是类x,,,if the domain of property p is class x,
第一条规则表示如果属性p的定义域是类x，而且实例s和o有关系p（这里把属性与关系看成是一样的），那么实例s是类x的一个元素。,实例s和o有关系p,,,instance s and o have relationship p,
第二条规则表示如果属性p的值域是类x，而且实例s和o有关系p，那么实例o是类x的一个元素。,第二条规则,,,如果属性p的值域是类x，而且实例s和o有关系p,
第二条规则表示如果属性p的值域是类x，而且实例s和o有关系p，那么实例o是类x的一个元素。,等价,,,equivalent,
"例如exp:hasChild_rdfs:domain_exp:Person,exp:Helen_exp:hasChild_exp:Jack，由第一条规则可以推出_exp:Helen_rdf:type_exp:Person。",exp:hasChild_rdfs:domain_exp:Person,,,exp:Helen,
"例如exp:hasChild_rdfs:domain_exp:Person,exp:Helen_exp:hasChild_exp:Jack，由第一条规则可以推出_exp:Helen_rdf:type_exp:Person。",exp:hasChild_rdfs:domain_exp:Person,,,exp:Helen_exp:hasChild_exp:Jack,
"例如exp:hasChild_rdfs:domain_exp:Person,exp:Helen_exp:hasChild_exp:Jack，由第一条规则可以推出_exp:Helen_rdf:type_exp:Person。",exp:Helen,,,英文名,
OWL_2_RL允许的核心词汇有：●rdfs:subClassOf；●rdfs:subPropertyOf；●rdfs:domain；●rdfs:range；●owl:TransitiveProperty；●owl:FunctionalProperty；●owl:sameAs；●owl:equivalentClass；●owl:equivalentProperty；●owl:someValuesFrom；●owl:allValuesFrom。,OWL_2_RL,,,OWL_2_RL,
OWL_2_RL的前向链推理复杂度是PTIME完备的，PTIME复杂度是针对实例数据推理得到的结果。,OWL_2_RL的前向链推理复杂度,,,PTIME完备,
OWL_2_RL的前向链推理复杂度是PTIME完备的，PTIME复杂度是针对实例数据推理得到的结果。,OWL_2_RL的前向链推理复杂度,,,PTIME完备,
2.3.3知识图谱查询语言的表示RDF支持类似数据库的查询语言，叫作SPARQL[1]，它提供了查询RDF数据的标准语法、处理SPARQL查询的规则以及结果返回形式。,SPARQL,,,查询RDF数据,
2.3.3知识图谱查询语言的表示RDF支持类似数据库的查询语言，叫作SPARQL[1]，它提供了查询RDF数据的标准语法、处理SPARQL查询的规则以及结果返回形式。,SPARQL,,,查询RDF数据的标准语法,
1.SPARQL知识图谱查询基本构成●变量，RDF中的资源，以“?”或者“$”指示；●三元组模板，在WHERE子句中列出关联的三元组模板，之所以称为模板，因为三元组中允许存在变量；●SELECT子句中指示要查询的目标变量。,SPARQL知识图谱查询,,,变量、RDF中的资源,
1.SPARQL知识图谱查询基本构成●变量，RDF中的资源，以“?”或者“$”指示；●三元组模板，在WHERE子句中列出关联的三元组模板，之所以称为模板，因为三元组中允许存在变量；●SELECT子句中指示要查询的目标变量。,SPARQL知识图谱查询,,,SPARQL knowledge graph query,
下面是一个简单的SPARQL查询例子：这个SPARQL查询指的是查询所有选修CS328课程的学生，PREFIX部分进行命名空间的声明，使得下面查询的书写更为简洁。,SPARQL查询,,,查询所有选修CS328课程的学生,
下面是一个简单的SPARQL查询例子：这个SPARQL查询指的是查询所有选修CS328课程的学生，PREFIX部分进行命名空间的声明，使得下面查询的书写更为简洁。,SPARQL查询,,,查询所有选修CS328课程的学生,
2.常见的SPARQL查询算子（1）OPTIONAL。,SPARQL查询算子,,,常见的,
2.常见的SPARQL查询算子（1）OPTIONAL。,SPARQL查询算子,,,OPTIONAL,
可选算子，指的是在这个算子覆盖范围的查询语句是可选的。,可选算子,,,在这个算子覆盖范围的查询语句是可选的,
例如：指的是查询所有选修CS328课程的学生姓名，以及他们的邮箱。,查询所有选修CS328课程的学生姓名,,,查询学生姓名,
例如：指的是查询所有选修CS328课程的学生姓名，以及他们的邮箱。,查询所有选修CS328课程的学生姓名,,,查询学生的邮箱,
OPTIONAL关键字指示如果没有邮箱，则依然返回学生姓名，邮箱处空缺。,OPTIONAL关键字,,,没有邮箱则依然返回学生姓名，邮箱处空缺,
OPTIONAL关键字指示如果没有邮箱，则依然返回学生姓名，邮箱处空缺。,OPTIONAL,,,等价,
（2）FILTER。,FILTER,,,SPO,
过滤算子，指的是这个算子覆盖范围的查询语句可以用来过滤查询结果。,过滤算子,,,覆盖范围的查询语句可以用来过滤查询结果,
例如：指的是查询学生姓名、选修课程以及他们的年龄；如果有年龄，则年龄必须大于25岁。,spo,,,查询学生姓名、选修课程以及他们的年龄,
（3）UNION。,UNION,,,SPO,
并算子，指的是将两个查询的结果合并起来。,并算子,,,将两个查询的结果合并起来,
例如：指的是查询选修课程CS328或CS909的学生姓名以及邮件。,SPO,,,查询选修课程CS328或CS909的学生姓名以及邮件,
注意，这里的邮件是必须返回的，如果没有邮件值，则不返回这条记录。,邮件,,,返回记录,
注意，这里的邮件是必须返回的，如果没有邮件值，则不返回这条记录。,邮件,,,email,
需要注意UNION和OPTIONAL的区别。,UNION,,,集合运算,
下面给出一个SPARQL查询的例子。,SPARQL查询,,,SPO,
给定一个RDF数据集：以及一个SPARQL查询：这个SPARQL查询期望查询所有的收购关系，可以得到查询结果如表2-8所示。,SPARQL查询,,,查询所有的收购关系,
给定一个RDF数据集：以及一个SPARQL查询：这个SPARQL查询期望查询所有的收购关系，可以得到查询结果如表2-8所示。,等价,,,equivalence,
表2-8查询结果给定论文一个SPARQL查询：这个查询期望查询所有具备关联交易的公司。,查询,,,SPARQL查询,
"假设有下面两条规则：hold_share（X,Y）:-control（X,Y）conn_trans（Y,Z）:-hold_share（X,Y）,hold_share（X,Z）第一条规则指的是如果X控制了Y，那么X控股Y；第二条规则指的是如果X同时控股Y和Z，那么Y和Z具备关联交易。",hold_share,,,规则,
"假设有下面两条规则：hold_share（X,Y）:-control（X,Y）conn_trans（Y,Z）:-hold_share（X,Y）,hold_share（X,Z）第一条规则指的是如果X控制了Y，那么X控股Y；第二条规则指的是如果X同时控股Y和Z，那么Y和Z具备关联交易。",等价,,,"if X controls Y, then X holds Y",
"假设有下面两条规则：hold_share（X,Y）:-control（X,Y）conn_trans（Y,Z）:-hold_share（X,Y）,hold_share（X,Z）第一条规则指的是如果X控制了Y，那么X控股Y；第二条规则指的是如果X同时控股Y和Z，那么Y和Z具备关联交易。",等价,,,如果X同时控股Y和Z，那么Y和Z具备关联交易。,
通过查询重写技术，可以得到下面的SPARQL查询：但是这个查询比较复杂，可以通过下面的SPARQL查询简化：在这个查询中，SPARQL允许嵌套查询，即WHERE子句中包含SELECT子句。,SPARQL查询,,,嵌套查询,
通过查询重写技术，可以得到下面的SPARQL查询：但是这个查询比较复杂，可以通过下面的SPARQL查询简化：在这个查询中，SPARQL允许嵌套查询，即WHERE子句中包含SELECT子句。,SPARQL查询,,,SPARQL查询重写技术,
2.3.4语义Markup表示语言语义网进一步定义了在网页中嵌入语义Markup的方法和表示语言。,语义Markup表示语言,,,在网页中嵌入语义Markup的方法和表示语言,
被谷歌知识图谱以及Schema.Org采用的语义Markup语言主要包括JSON-LD、RDFa和HTML5MicroData。,Schema.Org,,,语义Markup语言,
1.JSON-LDJSON-LD（JavaScript_Object_Notation_for_Linked_Data）是一种基于JSON表示和传输链接数据的方法。,JSON-LD,,,基于JSON表示和传输链接数据的方法,
1.JSON-LDJSON-LD（JavaScript_Object_Notation_for_Linked_Data）是一种基于JSON表示和传输链接数据的方法。,JSON-LD,,,JavaScript_Object_Notation_for_Linked_Data,
JSON-LD描述了如何通过JSON表示有向图，以及如何在一个文档中混合表示链接数据及非链接数据。,JSON-LD,,,通过JSON表示有向图,
JSON-LD描述了如何通过JSON表示有向图，以及如何在一个文档中混合表示链接数据及非链接数据。,JSON-LD,,,在一个文档中混合表示链接数据及非链接数据,
JSON-LD的语法和JSON兼容。,JSON-LD,,,JSON,
下面是一个简单的JSON例子：JSON文档表示一个人。,JSON,,,一个人,
人们很容易推断这里的含义：“name”是人的名字，“homepage”是其主页，“image”是其某种照片。,name,,,人的名字,
人们很容易推断这里的含义：“name”是人的名字，“homepage”是其主页，“image”是其某种照片。,name,,,人的名字,
人们很容易推断这里的含义：“name”是人的名字，“homepage”是其主页，“image”是其某种照片。,homepage,,,主页,
人们很容易推断这里的含义：“name”是人的名字，“homepage”是其主页，“image”是其某种照片。,image,,,某种照片,
当然，机器不理解“name”和“image”这样的术语。,语义网,,,属于本体,
JSON-LD通过引入规范的术语表示，例如统一化表示“name”、“homepage”和“image”的URI，使得数据交换和机器理解成为基础。,JSON-LD,,,统一的术语表示,
如下所示：可以看出，JSON-LD呈现出语义网技术的风格，它们有着类似的目标：围绕某类知识提供共享的术语。,JSON-LD,,,围绕某类知识提供共享的术语,
如下所示：可以看出，JSON-LD呈现出语义网技术的风格，它们有着类似的目标：围绕某类知识提供共享的术语。,语义网技术,,,semantic web technology,
例如，每个数据集不应该围绕“name”重复发明概念。,数据集,,,“不应该围绕“name”重复发明概念”,
但是，JSON-LD的实现没有选择大部分语义网技术栈（TURTLE/SPARQL/Quad单、不复杂以及面向一般开发人员的方式推进。,JSON-LD的实现,,,没有选择大部分语义网技术栈（TURTLE/SPARQL/Quad单、不复杂以及面向一般开发人员的方式推进。,
Stores），而是以简2.RDFaRDFa（Resource_Description_Framework_in_attributes）是一种早期网页语义标记语言。,RDFa,,,早期网页语义标记语言,
Stores），而是以简2.RDFaRDFa（Resource_Description_Framework_in_attributes）是一种早期网页语义标记语言。,RDFa,,,Resource_Description_Framework_in_attributes,
RDFa也是W3C推荐标准。,RDFa,,,W3C推荐标准,
它扩充了XHTML的几个属性，网页制作者可以利用这些属性在网页中添加可供机器读取的资源。,XML,,,扩充XHTML的几个属性,
与RDF的对应关系使得RDFa可以将RDF的三元组嵌入在XHTML文档中，它也使得符合标准的使用端可以从RDFa文件中提取出这些RDF三元组。,RDFa,,,将RDF的三元组嵌入在XHTML文档中,
与RDF的对应关系使得RDFa可以将RDF的三元组嵌入在XHTML文档中，它也使得符合标准的使用端可以从RDFa文件中提取出这些RDF三元组。,RDFa,,,符合标准的使用端可以从RDFa文件中提取出这些RDF三元组,
与RDF的对应关系使得RDFa可以将RDF的三元组嵌入在XHTML文档中，它也使得符合标准的使用端可以从RDFa文件中提取出这些RDF三元组。,RDFa,,,将RDF的三元组嵌入在XHTML文档中,
与RDF的对应关系使得RDFa可以将RDF的三元组嵌入在XHTML文档中，它也使得符合标准的使用端可以从RDFa文件中提取出这些RDF三元组。,RDFa,,,符合标准的使用端可以从RDFa文件中提取出这些RDF三元组,
RDFa通过引入名字空间的方法，在已有的标签中加入RDFa相应的属性，以便解析支持RDFa技术的浏览器或者搜索引擎，从而达到优化的目的。,RDFa,,,在已有的标签中加入RDFa相应的属性，以便解析支持RDFa技术的浏览器或者搜索引擎，从而达到优化的目的。,
上面的代码示例中用到了RDFa属性中的about属性和property属性。,about,,,RDFa属性,
这段代码示例说明了一篇文章，然后描述了和这篇文章相关的信息，例如标题、创建者和创建日期，就可以让支持RDFa的机器识别这些属性。,代码示例,,,一篇文章,
这段代码示例说明了一篇文章，然后描述了和这篇文章相关的信息，例如标题、创建者和创建日期，就可以让支持RDFa的机器识别这些属性。,一段代码示例,,,一段代码示例说明了一篇文章,
RDFa可以从机器可理解的层面优化搜索，提升访问体验以及网页数据的关联。,RDFa,,,优化搜索，提升访问体验以及网页数据的关联,
3.HTML5_MicrodataMicrodata（微数据）是在网页标记语言中嵌入机器可读的属性数据。,HTML5_Microdata,,,在网页标记语言中嵌入机器可读的属性数据,
微数据使用自定义词汇表、带作用域的键值对给DOM做标记，用户可以自定义微数据词汇表，在自己的网页中嵌入自定义的属性。,微数据,,,自定义词汇表、带作用域的键值对给DOM做标记,
微数据使用自定义词汇表、带作用域的键值对给DOM做标记，用户可以自定义微数据词汇表，在自己的网页中嵌入自定义的属性。,微数据,,,microdata,
微数据是给那些已经在页面上可见的数据施加额外的语义，当HTML的词汇不够用时，使用微数据可以取得较好的效果。,微数据,,,给那些已经在页面上可见的数据施加额外的语义,
下面是一个HTML5Microdata的示例。,HTML5Microdata,,,HTML5的语义化数据,
这个例子给出了Person类下一个叫Andy的人的照片和URL地址。,Person,,,一个叫Andy的人,
通过HTML5Microdata，浏览器可以很方便地从网页上提取微数据实体、属性及属性值。,HTML5Microdata,,,从网页上提取微数据实体、属性及属性值,
2.4常见开放域知识图谱的知识表示方法不同的知识图谱项目都会根据实际的需要选择不同的知识表示框架。,知识图谱,,,不同的知识图谱项目都会根据实际的需要选择不同的知识表示框架,
这些框架有不同的描述术语、表达能力、数据格式等方面的考虑，但本质上有相似之处。,框架,,,描述术语、表达能力、数据格式等方面的考虑,
这些框架有不同的描述术语、表达能力、数据格式等方面的考虑，但本质上有相似之处。,框架,,,frame,
这里以三个最典型的开放域知识图谱（Freebase、Wikidata、ConceptNet）为例，尝试比较不同的知识图谱项目选用的知识表示框架，并总结影响知识表示框架选择的主要因素。,知识图谱,,,不同的知识图谱项目选用的知识表示框架,
为便于比较分析，以RDF、OWL的描述术语和表达能力为主要比较对象。,为便于比较分析,,,RDF、OWL的描述术语和表达能力,
2.4.1FreebaseFreebase的知识表示框架主要包含如下几个要素：对象-Object、事实-Facts、类型-ID，称为MIDTypes和属性-Properties。,FreebaseFreebase的知识表示框架,,,对象-Object,
2.4.1FreebaseFreebase的知识表示框架主要包含如下几个要素：对象-Object、事实-Facts、类型-ID，称为MIDTypes和属性-Properties。,FreebaseFreebase的知识表示框架,,,事实-Facts,
2.4.1FreebaseFreebase的知识表示框架主要包含如下几个要素：对象-Object、事实-Facts、类型-ID，称为MIDTypes和属性-Properties。,FreebaseFreebase的知识表示框架,,,类型-ID,
2.4.1FreebaseFreebase的知识表示框架主要包含如下几个要素：对象-Object、事实-Facts、类型-ID，称为MIDTypes和属性-Properties。,FreebaseFreebase的知识表示框架,,,MIDTypes,
2.4.1FreebaseFreebase的知识表示框架主要包含如下几个要素：对象-Object、事实-Facts、类型-ID，称为MIDTypes和属性-Properties。,FreebaseFreebase的知识表示框架,,,属性-Properties,
2.4.1FreebaseFreebase的知识表示框架主要包含如下几个要素：对象-Object、事实-Facts、类型-ID，称为MIDTypes和属性-Properties。,Freebase,,,Freebase的知识表示框架,
“Object”代表实体。,“Object”,,,实体,
每一个“Object”有唯一的（Machine_ID）。,Object,,,每一个“Object”,
每一个“Object”有唯一的（Machine_ID）。,Object,,,对象,
一个“Object”可以有一个或多个“Types”。,Object,,,一个或多个Types,
“Properties”用来描述“Facts”。,“Properties”,,,“Facts”,
例如，“Barack_Obama”是一个Object，并拥有一个唯一的MID:“/m/02mjmr”。,Barack_Obama,,,Object,
例如，“Barack_Obama”是一个Object，并拥有一个唯一的MID:“/m/02mjmr”。,“Barack_Obama”,,,Object,
这个Object是“/government/us_president”，并有一个称的一个为“/government/us_president/presidency_number”的Property，其数值是“44”。,“/government/us_president”,,,/government/us_president,
"Freebase使用复合值类型（Compound_Value_Types,CVT）处理多元关系。",Freebase,,,复合值类型处理多元关系,
"Freebase使用复合值类型（Compound_Value_Types,CVT）处理多元关系。",复合值类型,,,"Compound_Value_Types,CVT",
type如图2-16所示，示例的CVT描述了关于Obama的任职期限的多元关系“government_position_held”。,government_position_held,,,CVT的示例,
这个多元关系包含多个子二元关系：“office_holder”“office_position”“from”“to”等。,多元关系,,,多个子二元关系,
一个CVT就是有唯一MID的Object，也可以有多个Types。,CVT,,,有唯一MID的Object,
一个CVT就是有唯一MID的Object，也可以有多个Types。,CVT,,,多个Types,
为了以示区别，Freebase把所有非CVT的Object也称为“Topic”。,Freebase,,,Object,
Wikidata起源于Wikipedia，因此与Wikipedia一样，以页面“Page”为基本的组织单元。,Wikidata,,,Wikipedia,
Entities类似于OWL:Things，代指最顶层的对象。,Entities,,,OWL:Things,
每一个Entity都有一个独立的维基页面。,Entity,,,独立的维基页面,
Entities主要有两类：Items和Properties。,Entities,,,Items,
Entities主要有两类：Items和Properties。,Entities,,,Properties,
Items类似于RDF中的Instance，代指实例对象。,Items,,,实例对象,
Properties和Statements分别等价于RDF中的Property和Statement。,Properties,,,RDF中的Property,
通常一个Item的页面还包含多个别名-aliases和多个指向Wikipedia的外部链接-Sitelinks。,一个Item的页面,,,别名-aliases,
通常一个Item的页面还包含多个别名-aliases和多个指向Wikipedia的外部链接-Sitelinks。,一个Item的页面,,,外部链接-Sitelinks,
通常一个Item的页面还包含多个别名-aliases和多个指向Wikipedia的外部链接-Sitelinks。,别名,,,aliases,
通常一个Item的页面还包含多个别名-aliases和多个指向Wikipedia的外部链接-Sitelinks。,外部链接,,,Sitelinks,
一个Statement包含一个Property、一个或多个Values、一个或多个Qualifiers、一个或多个References、一个标识重要性程度的Rank。,Statement,,,一个Property、一个或多个Values、一个或多个Qualifiers、一个或多个References、一个标识重要性程度的Rank,
一个Statement包含一个Property、一个或多个Values、一个或多个Qualifiers、一个或多个References、一个标识重要性程度的Rank。,Statement,,,一个Statement包含一个Property、一个或多个Values、一个或多个Qualifiers、一个或多个References、一个标识重要性程度的Rank,
修饰-Qualifiers用于处理复杂的多元表示。,Qualifiers,,,用于处理复杂的多元表示,
如一个陈述“spouse:Jane_Belson”描述了一个二元关系。,spo,,,三元组,
如一个陈述“spouse:Jane_Belson”描述了一个二元关系。,等价,,,等价,
可以使用Qualifiers给这个陈述增加多个附加信息来刻画多元关系，如“startdate:25_November_1991”and“end_date:11_May_2011”等。,Qualifiers,,,刻画多元关系,
可以使用Qualifiers给这个陈述增加多个附加信息来刻画多元关系，如“startdate:25_November_1991”and“end_date:11_May_2011”等。,Qualifiers,,,给这个陈述增加多个附加信息来刻画多元关系,
引用-References用于标识每个陈述的来源或出处，如来源于某个维基百科页面等。,引用,,,标识每个陈述的来源或出处,
引用也是一种Qualifiers，通常添加到Statements的附加信息中。,引用,,,Qualifiers,
Wikidata支持多种数值类型，包括其自有的Item类型、RDF_Literal、URL、媒体类型Commons_Media，以及Time、Globe_coordinates和Quantity三种复杂类型。,Wikidata,,,多种数值类型,
Wikidata支持多种数值类型，包括其自有的Item类型、RDF_Literal、URL、媒体类型Commons_Media，以及Time、Globe_coordinates和Quantity三种复杂类型。,Wikidata,,,Wikidata,
Wikidata允许给每个Statement增加三种权重：normal（缺省）、preferred和deprecated。,Wikidata,,,给每个Statement增加三种权重,
Wikidata允许给每个Statement增加三种权重：normal（缺省）、preferred和deprecated。,Wikidata,,,Wikidata,
Wikidata定义了三种Snacks作为Statement的具体描述结构：PropertyValueSnack、PropertyNoValueSnack、PropertySomeValueSnack。,Wikidata,,,定义三种Snacks,
Wikidata定义了三种Snacks作为Statement的具体描述结构：PropertyValueSnack、PropertyNoValueSnack、PropertySomeValueSnack。,PropertyValueSnack,,,属性值小吃,
Wikidata定义了三种Snacks作为Statement的具体描述结构：PropertyValueSnack、PropertyNoValueSnack、PropertySomeValueSnack。,PropertyNoValueSnack,,,属性无值小吃,
Wikidata定义了三种Snacks作为Statement的具体描述结构：PropertyValueSnack、PropertyNoValueSnack、PropertySomeValueSnack。,PropertySomeValueSnack,,,属性有些值小吃,
PropertyNoValueSnack类似于OWL中的Negation，表示类似于“Elizabeth_spouse”的知识。,PropertyNoValueSnack,,,类似于OWL中的Negation,
"PropertySomeValueSnack类似于OWL中的存在量词someValuesFrom，表示类似于“PopeLinus_had_a_date_of_birth,but_it_is_unknown_to_us”这样的知识。",PropertySomeValueSnack,,,类似于OWL中的存在量词someValuesFrom,
"PropertySomeValueSnack类似于OWL中的存在量词someValuesFrom，表示类似于“PopeLinus_had_a_date_of_birth,but_it_is_unknown_to_us”这样的知识。",PropertySomeValueSnack,,,someValuesFrom,
of_England_had_no_I_Wikidata的URI机制遵循了Linked_Open_Data的URI原则，采用统一的URI机制：Item，如Q49，或者一个http://www.wikidata.org/entity/<id>。,of_England_had_no_I_Wikidata,,,URI机制,
of_England_had_no_I_Wikidata的URI机制遵循了Linked_Open_Data的URI原则，采用统一的URI机制：Item，如Q49，或者一个http://www.wikidata.org/entity/<id>。,of_England_had_no_I_Wikidata,,,URI机制,
其中，<id>可以是一个Property，如P234。,P234,,,一个Property,
2.4.3ConceptNet5ConceptNet5的知识表示框架主要包含如下要素：概念-Concepts、词-Words、短语-Phrases、断言-Assertions、关系-Relations、边-Edges。,概念-Concepts,,,概念概念概念概念,
Concepts由Words或Phrases组成，构成了图谱中的节点。,Concepts,,,Words或Phrases,
Concepts由Words或Phrases组成，构成了图谱中的节点。,Concepts,,,Words或Phrases,
与其他知识图谱的节点不同，这些Concepts通常是从自然语言文本中提取出来的，更接近自然语言描述，而不是形式化的命名。,Concepts,,,从自然语言文本中提取出来的,
与其他知识图谱的节点不同，这些Concepts通常是从自然语言文本中提取出来的，更接近自然语言描述，而不是形式化的命名。,Concepts,,,概念,
Assertions描述了Concepts之间的关系，类似于RDF中的Statements。,Assertions,,,Concepts之间的关系,
Assertions描述了Concepts之间的关系，类似于RDF中的Statements。,Assertions,,,Concepts之间的关系,
Edges类似于RDF中的Property。,Edges,,,RDF中的Property,
一个Concepts包含多条边，而一条边可能有多个产生来源。,一个Concepts,,,多条边,
一个Concepts包含多条边，而一条边可能有多个产生来源。,一条边,,,多个产生来源,
例如，一个“化妆Cause漂亮”的断言可能来源于文本抽取，也可能来源于用户的手工输入。,“化妆Cause漂亮”的断言,,,文本抽取,
例如，一个“化妆Cause漂亮”的断言可能来源于文本抽取，也可能来源于用户的手工输入。,“化妆Cause漂亮”的断言,,,用户的手工输入,
来源越多，该断言就越可靠。,断言,,,来源越多，该断言就越可靠。,
ConceptNet5根据来源的多少和可靠程度计算每个断言的置信度。,ConceptNet5,,,根据来源的多少和可靠程度计算每个断言的置信度。,
ConceptNet5根据来源的多少和可靠程度计算每个断言的置信度。,ConceptNet5,,,根据来源的多少和可靠程度计算每个断言的置信度。,
ConceptNet5示例如图2-17所示。,ConceptNet5,,,概念/产品,
"ConceptNet5中的关系包含21个预定义的、多语言通用的关系，如IsA、UsedFor等，以及从自然语言文本中抽取的更加接近自然语言描述的非形式化的关系，如of,caused_by等。",ConceptNet5,,,21个预定义的、多语言通用的关系,
"ConceptNet5中的关系包含21个预定义的、多语言通用的关系，如IsA、UsedFor等，以及从自然语言文本中抽取的更加接近自然语言描述的非形式化的关系，如of,caused_by等。",ConceptNet5,,,ConceptNet 5,
on_top图2-17ConceptNet5示例ConceptNet5对URI进行了精心的设计。,ConceptNet5,,,对URI进行了精心的设计,
URI同时考虑了类型（如是概念还是关系）、语言、正则化后的概念名称、词性、歧义等因素。,URI,,,考虑了类型（如是概念还是关系）、语言、正则化后的概念名称、词性、歧义等因素。,
URI同时考虑了类型（如是概念还是关系）、语言、正则化后的概念名称、词性、歧义等因素。,URI,,,Uniform Resource Identifier,
其中，n代指这是一个名词，basement用于区分歧义。,n,,,一个名词,
其中，n代指这是一个名词，basement用于区分歧义。,n,,,一个名词,
在处理表示“x_is_the_first_argument_of_y”这类多元关系的问题上，ConceptNet5把所有关于某条边的附加信息增加为边的属性，如图2-18所示。,ConceptNet5,,,处理表示“x_is_the_first_argument_of_y”这类多元关系的问题,
在处理表示“x_is_the_first_argument_of_y”这类多元关系的问题上，ConceptNet5把所有关于某条边的附加信息增加为边的属性，如图2-18所示。,边的附加信息,,,边的属性,
图2-18ConceptNet5的知识表示结构2.5知识图谱的向量表示方法与前面所述的表示方法不同的是，本节要描述的方法是把知识图谱中的实体和关系映射到低维连续的向量空间，而不是使用基于离散符号的表达方式。,ConceptNet5,,,概念语义网络的五大版本,
2.5.1知识图谱表示的挑战在前面提到的一些知识图谱的表示方法中，其基础大多是以三元组的方法对知识进行组织。,知识图谱的表示方法,,,三元组的方法对知识进行组织,
2.5.1知识图谱表示的挑战在前面提到的一些知识图谱的表示方法中，其基础大多是以三元组的方法对知识进行组织。,知识图谱的表示方法,,,三元组的方法对知识进行组织,
